菑	灾
菓	果
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萲	萱
萵	莴
葉	叶
葒	荭
葠	参
葤	荮
葦	苇
葯	药
葷	荤
蒍	𫇭
蒐	搜 蒐
蒓	莼
蒔	莳
蒞	莅
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓡	参
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔄	𬜬
蔆	菱
蔔	卜
蔕	蒂
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔴	麻
蔾	藜
蔿	𫇭
蕁	荨
蕆	蒇
蕋	蕊
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕚	萼
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕷	蓣
蕿	萱
薀	蕰
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薙	剃
薟	莶
薦	荐
薩	萨
薴	苧
薹	苔 薹
薺	荠
藉	藉 借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藭	䓖
藴	蕴
藶	苈
藷	薯
藹	蔼
藺	蔺
藼	萱
蘀	萚
蘂	蕊
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹 𬞟
蘐	萱
蘓	苏
蘚	藓
蘞	蔹
蘢	茏
蘤	花
蘭	兰
蘺	蓠
蘿	萝
虉	𬟁
處	处
虖	呼
虛	虚
虜	虏
號	号
虧	亏
虯	虬
虵	蛇
蚘	蛔
蛕	蛔
蛺	蛱
蛻	蜕
蜆	蚬
蜋	螂
蜖	蛔
蜨	蝶
蜺	霓
蝀	𬟽
蝕	蚀
蝟	猬
蝡	蠕
蝦	虾
蝨	虱
蝯	猿
蝱	虻
蝸	蜗
螄	蛳
螎	融
螞	蚂
螡	蚊
螢	萤
螮	䗖
螻	蝼
蟁	蚊
蟄	蛰
蟇	蟆
蟈	蝈
蟎	螨
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟶	蛏
蟻	蚁
蠅	蝇
蠆	虿
蠍	蝎
蠏	蟹
蠐	蛴
蠑	蝾
蠒	茧
蠔	蚝
蠟	蜡
蠣	蛎
蠨	蟏
蠭	蜂
蠱	蛊
蠶	蚕
蠻	蛮
衂	衄
衆	众
衇	脉
衊	蔑
術	术
衕	同
衖	弄
衘	衔
衚	胡
衛	卫
衝	冲
衹	只
衺	邪
袞	衮
袟	帙
袠	帙
袴	裤
袵	衽
袷	夹 袷
裊	袅
裌	夹
裏	里
補	补
裝	装
裠	裙
裡	里
製	制
複	复
褌	裈
褘	袆
褭	袅
褲	裤
褳	裢
褸	褛
褻	亵
襀	𫌀
襃	褒
襇	裥
襉	裥
襍	杂
襏	袯
襖	袄
襝	裣
襠	裆
襢	袒
襤	褴
襪	袜
襬	摆
襯	衬
襲	袭
襴	襕
